Year,Palestinian men,Palestinian boys,Palestinian women,Palestinian girls,Israeli men,Israeli boys,Israeli women,Israeli girls
2008,505,339,38,15,24,4,5,0
2009,786,174,75,17,10,1,0,0
2010,83,11,1,0,6,0,2,0
2011,103,15,3,0,5,4,1,1
2012,199,39,15,7,6,0,1,0
2013,33,5,1,0,6,0,0,0
2014,1461,372,301,195,82,3,2,1
2015,134,26,10,4,24,0,2,0
2016,61,38,10,0,8,0,3,1
2017,62,11,1,3,11,0,6,0
2018,240,55,3,2,12,0,1,0
2019,103,25,8,2,7,0,4,1
2020,21,8,1,0,2,0,1,0
2021,218,62,46,23,7,2,1,1
2022,138,41,8,3,19,1,1,0
2023,176,40,6,4,18,5,5,1
