Year,Palestinian men,Palestinian boys,Palestinian women,Palestinian girls,Israeli men,Israeli boys,Israeli women,Israeli girls
2008,1456,482,80,74,731,8,18,2
2009,3394,1555,838,518,104,1,7,0
2010,1098,325,113,17,167,1,8,1
2011,1602,381,99,61,114,2,4,0
2012,3335,1063,243,19,561,2,7,1
2013,2642,1212,99,39,134,5,9,3
2014,9157,4336,3666,374,2274,413,18,3
2015,11727,2507,177,225,261,11,35,6
2016,2336,1002,80,46,172,12,25,1
2017,4544,1166,124,39,121,4,19,1
2018,20441,5858,1738,569,74,5,15,2
2019,7903,5330,732,227,50,7,12,1
2020,1696,392,17,12,43,4,2,0
2021,6062,1822,529,310,58,8,10,3
2022,3978,1043,195,42,154,6,16,2
2023,2352,1144,223,81,79,7,13,2
